0,1,2
covertype,0.56,0.23024589367285453
elec,0.7066666666666667,0.42156003505696754
poker,0.42,0.1270173091395602
weather,0.7033333333333334,0.09943335132218022
gmsc,0.7566666666666667,0.07672849915682942
moving_squares,0.5,0.3333333333333333
mixed_g,0.7666666666666667,0.5323981295925184
mixed_a,0.7666666666666667,0.5323981295925184
Hyperplane Generator,0.5166666666666667,0.03316145092460887
rand_tree,0.56,0.1323400525854514
rbf_if,0.6,0.20230445380013296
rbf_im,0.5466666666666666,0.04801903961920746
sea_a,0.83,0.6148036253776434
sea_g,0.8133333333333334,0.5561426684280053
Mixed Generator_Mixed Generator_1000_1,0.7666666666666667,0.5486782720825274
Mixed Generator_Mixed Generator_1000_1000,0.7666666666666667,0.5323981295925184
SEA Generator_SEA Generator_1000_1,0.8266666666666667,0.6061600605907599
SEA Generator_SEA Generator_1000_1000,0.8133333333333334,0.5662277304415183
mean,,
"1    0.678889
2    0.344075
dtype: float64",,
